Tree,Asset 1,Asset 2,Family,Kendall's Tau,DF
3,MTN,REM,gaussian,0.0164,
3,REM,SBK,student,0.108,21.80043048864651
3,REM,BVT,student,0.1162,9.077914676209513
3,SLM,SBK,student,0.1468,9.58578343382808
3,SBK,NED,student,0.1335,12.551866308973281
3,NED,INL,student,0.0968,10.124513103519023
3,FSR,ABG,student,0.1036,15.58349094319164
3,ABG,TFG,student,0.1605,8.33670968239722
3,TFG,MRP,student,0.0913,15.823363563971261
3,RLO,ABG,gaussian,0.0179,
3,SBK,TFG,gaussian,0.0237,
3,TRU,WHL,gaussian,0.0051,
3,TFG,RLO,student,0.0605,20.420241542589515
3,ABG,MRP,student,0.0452,11.563638764828717
3,MRP,TRU,student,0.0675,16.832862323103797
3,SBK,TRU,student,0.1276,11.761022358864626
3,TRU,WHL,student,0.1021,9.08540431307742
3,WHL,SHP,student,0.1522,14.95509955434291
3,ACT,TRU,gaussian,0.0112,
3,AFT,SPP,gaussian,-0.0134,
3,TRU,WHL,gaussian,0.0055,
3,SPP,WHL,gaussian,0.0217,
3,WHL,TFG,gaussian,0.0128,
3,WHL,TRU,student,0.1232,20.914590771759002
3,TFG,SHP,gaussian,0.0055,
3,TRU,TFG,student,0.114,18.359572582763946
3,SHP,TFG,student,0.1019,10.479595489358026
4,FSR,BVT,gaussian,0.0504,
4,BVT,SLM,student,0.055,14.341532717000359
4,SNT,SPG,gaussian,0.019,
4,SPG,FSR,student,0.0587,16.199846739038467
4,REM,NED,student,0.066,20.33597607856713
4,CAT,PPC,gaussian,-0.0002,
4,PPC,KAP,student,0.0102,15.377155102614807
4,GND,DTC,gaussian,0.0284,
4,DTC,NPN,student,0.0497,8.813798380375252
4,NPN,DTC,gaussian,0.0177,
4,BVT,SLM,student,0.0522,13.1069500606952
4,SLM,DSY,student,0.0614,15.258521357809254
4,FSR,OUT,student,0.0498,9.72848935974566
4,OUT,REM,student,0.0875,9.20369075834807
